year_url,title,description,pdf_link,pdf_name
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Création d’un parc photovoltaïque au sol sur une ancienne carrière à Taponas (69),création d’un parc photovoltaique au sol sur une ancienne carrière à taponas (69) projet porté par la société corfu solaire (rhône) avis du 9 décembre 2025 2025-ara-ap-1976-n7350 2025apara149 pdf - 4.4 mio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/20251209_apara1976_n7350_parcpv_taponas_69_delibere.pdf,20251209_apara1976_n7350_parcpv_taponas_69_delibere.pdf
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,"Cadrage préalable à la réalisation d’un projet de centrale photovoltaïque au sol, sur la commune de Saint-Yorre (03)","cadrage préalable à la réalisation d’un projet de centrale photovoltaique au sol, sur la commune de saint-yorre (03) projet porté par la société alma sa (allier) avis du 27 novembre 2025 / 2025-ara-ap-1960 2025apara146 pdf - 1012.9 kio",https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/251127_apara1960_cp_parcpvalmasa_styorre_03_delibere-2.pdf,251127_apara1960_cp_parcpvalmasa_styorre_03_delibere-2.pdf
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Création d’une centrale photovoltaïque au sol sur la commune de Colombier-Saugnieu (69),création d’une centrale photovoltaique au sol sur la commune de colombier-saugnieu (69) projet porté par la société solarhona (rhône) avis du 27 novembre 2025-ara-ap-1970 2025apara145 pdf - 2 mio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/20251127_apara1970_centralepv_colombier-saugnieu_69_delibere-2.pdf,20251127_apara1970_centralepv_colombier-saugnieu_69_delibere-2.pdf
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Implantation d’un parc agrivoltaïque sur la commune d’Allan (69),implantation d’un parc agrivoltaique sur la commune d’allan (69) projet porté par la société akuo (drôme) avis du 12 novembre 2025 / 2025-ara-ap-1961 2025apara140 pdf - 1.5 mio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/251112-apara-1961-centralepv_allan_26_delibere.pdf,251112-apara-1961-centralepv_allan_26_delibere.pdf
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,"Parc photovoltaïque au sol, sur la commune de Mionnay (01)","parc photovoltaique au sol, sur la commune de mionnay (01) projet porté par la société enoé développement (ain) avis du 28 octobre 2025 / 2025-ara-ap-1951 2025apara135 pdf - 2.1 mio",https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/251028_apara1951_parcpv_mionnay_01_delibere.pdf,251028_apara1951_parcpv_mionnay_01_delibere.pdf
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,"Parc photovoltaïque au sol, sur la commune de Poncin (01)","parc photovoltaique au sol, sur la commune de poncin (01) projet porté par la société forces motrices du gélon (ain) avis du 28 octobre 2025 / 2025-ara-ap-1949 2025apara134 pdf - 1.2 mio",https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/251028_apara1949_parcpv_poncin_01_delibere.pdf,251028_apara1949_parcpv_poncin_01_delibere.pdf
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,"Centrale photovoltaïque au sol, sur la commune de Montagnieu (01)","centrale photovoltaique au sol, sur la commune de montagnieu (01) projet porté par la société tse (ain) avis du 14 octobre 2025 / 2025-ara-ap-1950 2025apara128 pdf - 767.9 kio",https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/251014_apara1950_parcpv_montagnieu_01_delibere.pdf,251014_apara1950_parcpv_montagnieu_01_delibere.pdf
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Parc agrivoltaïque sur la commune de Terjat (03),parc agrivoltaique sur la commune de terjat (03) projet porté  par la société wpd solar france (allier) avis du 30 septembre 2025 / 2025-ara-ap-1935 2025apara122 pdf - 1.2 mio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/20250930-ap-1935-agripv-terjat-03vdeliberee.pdf,20250930-ap-1935-agripv-terjat-03vdeliberee.pdf
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Parc agrivoltaïque au sol  sur la commune de Saint-Sulpice (63),parc agrivoltaique au sol  sur la commune de saint-sulpice (63) projet porté par q energy (puy-de-dôme) avis du 30 septembre 2025 / 2025-ara-ap-1939 2025apara121 pdf - 770.8 kio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/20250930_ap_parc_agrivoltaique_sol_st-sulpice63_vdeliberee.pdf,20250930_ap_parc_agrivoltaique_sol_st-sulpice63_vdeliberee.pdf
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Centrale agrivoltaïque des Frênes sur la commune de Toulon-sur-Allier (03),centrale agrivoltaique des frênes sur la commune de toulon-sur-allier (03) projet porté par la société valeco (allier) avis du 30 septembre 2025 / 2025-ara-ap-1937 2025apara118 pdf - 2 mio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/20250930_ap_1937_centralepv_toulonsurallier_delibere.pdf,20250930_ap_1937_centralepv_toulonsurallier_delibere.pdf
